tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2023-9900,United Cup,Hard,18,I,20230102,266,210722,,,Elise Mertens,R,179.0,BEL,27.1,215566,,,Gergana Topalova,R,,BUL,22.8,6-4 3-6 6-0,3,RR,115.0,2.0,8.0,74.0,44.0,32.0,12.0,12.0,7.0,11.0,2.0,1.0,73.0,48.0,28.0,9.0,13.0,5.0,12.0,29.0,1475.0,324.0,177.0
2023-9900,United Cup,Hard,18,I,20230102,265,202421,,,Alison Van Uytvanck,R,173.0,BEL,28.7,202688,,,Isabella Shinikova,R,184.0,BUL,31.1,6-1 3-6 6-3,3,RR,103.0,3.0,0.0,75.0,47.0,33.0,17.0,13.0,4.0,6.0,3.0,8.0,82.0,49.0,30.0,15.0,12.0,3.0,7.0,72.0,794.0,379.0,131.0
2023-9900,United Cup,Hard,18,I,20230102,262,216347,,,Iga Swiatek,R,176.0,POL,21.5,202505,,,Belinda Bencic,R,175.0,SUI,25.8,6-3 7-6(3),3,RR,121.0,2.0,0.0,65.0,44.0,31.0,13.0,11.0,1.0,3.0,3.0,2.0,77.0,50.0,29.0,14.0,10.0,4.0,7.0,1.0,11085.0,12.0,2365.0
2023-9900,United Cup,Hard,18,I,20230102,261,202663,,,Magda Linette,R,171.0,POL,30.8,213525,,,Jil Teichmann,L,170.0,SUI,25.4,5-7 6-4 6-1,3,RR,162.0,5.0,4.0,108.0,78.0,54.0,13.0,15.0,7.0,10.0,1.0,4.0,96.0,63.0,42.0,15.0,14.0,8.0,13.0,48.0,1030.0,35.0,1336.0
2023-9900,United Cup,Hard,18,I,20230102,258,216347,,,Iga Swiatek,R,176.0,POL,21.5,201709,,,Yulia Putintseva,R,163.0,KAZ,27.9,6-1 6-3,3,RR,64.0,1.0,0.0,42.0,30.0,22.0,11.0,8.0,1.0,1.0,0.0,3.0,49.0,33.0,19.0,6.0,8.0,1.0,5.0,1.0,11085.0,51.0,995.0
2023-9900,United Cup,Hard,18,I,20230102,257,202663,,,Magda Linette,R,171.0,POL,30.8,214992,,,Zhibek Kulambayeva,R,172.0,KAZ,22.7,6-2 6-1,3,RR,67.0,1.0,0.0,48.0,26.0,21.0,12.0,8.0,3.0,4.0,0.0,2.0,42.0,31.0,10.0,6.0,7.0,4.0,9.0,48.0,1030.0,464.0,93.0
2023-9900,United Cup,Hard,18,I,20230102,254,202505,,,Belinda Bencic,R,175.0,SUI,25.8,201709,,,Yulia Putintseva,R,163.0,KAZ,27.9,7-6(0) 6-3,3,RR,114.0,2.0,3.0,76.0,47.0,33.0,15.0,11.0,3.0,5.0,1.0,4.0,65.0,40.0,25.0,10.0,10.0,4.0,7.0,12.0,2365.0,51.0,995.0
2023-9900,United Cup,Hard,18,I,20230102,253,213525,,,Jil Teichmann,L,170.0,SUI,25.4,214992,,,Zhibek Kulambayeva,R,172.0,KAZ,22.7,6-3 6-2,3,RR,82.0,4.0,6.0,52.0,21.0,18.0,16.0,9.0,0.0,2.0,0.0,4.0,50.0,36.0,18.0,5.0,8.0,5.0,10.0,35.0,1336.0,464.0,93.0
2023-9900,United Cup,Hard,18,I,20230102,250,202468,,,Jessica Pegula,R,170.0,USA,28.8,201696,,,Laura Siegemund,R,168.0,GER,34.8,6-3 6-2,3,RR,80.0,0.0,2.0,43.0,24.0,18.0,15.0,8.0,0.0,0.0,0.0,2.0,61.0,45.0,22.0,9.0,9.0,3.0,7.0,3.0,4691.0,176.0,368.0
2023-9900,United Cup,Hard,18,I,20230102,249,201619,,,Madison Keys,R,178.0,USA,27.8,215898,,,Jule Niemeier,R,178.0,GER,23.3,6-2 6-3,3,RR,70.0,2.0,1.0,44.0,33.0,27.0,7.0,9.0,0.0,1.0,4.0,7.0,63.0,34.0,21.0,10.0,8.0,4.0,8.0,11.0,2417.0,65.0,845.0
2023-9900,United Cup,Hard,18,I,20230102,246,201520,,,Petra Kvitova,L,183.0,CZE,32.8,202468,,,Jessica Pegula,R,170.0,USA,28.8,7-6(6) 6-4,3,RR,119.0,2.0,5.0,74.0,44.0,29.0,18.0,11.0,4.0,6.0,2.0,3.0,91.0,52.0,34.0,19.0,11.0,8.0,11.0,16.0,2097.0,3.0,4691.0
2023-9900,United Cup,Hard,18,I,20230102,245,201619,,,Madison Keys,R,178.0,USA,27.8,213631,,,Marie Bouzkova,R,180.0,CZE,24.4,6-4 6-3,3,RR,80.0,1.0,3.0,48.0,31.0,23.0,11.0,10.0,0.0,2.0,1.0,1.0,57.0,40.0,23.0,7.0,9.0,3.0,7.0,11.0,2417.0,24.0,1607.0
2023-9900,United Cup,Hard,18,I,20230102,242,201520,,,Petra Kvitova,L,183.0,CZE,32.8,201696,,,Laura Siegemund,R,168.0,GER,34.8,6-4 6-2,3,RR,109.0,3.0,10.0,74.0,46.0,31.0,12.0,9.0,9.0,11.0,0.0,2.0,61.0,43.0,20.0,9.0,9.0,4.0,9.0,16.0,2097.0,176.0,368.0
2023-9900,United Cup,Hard,18,I,20230102,241,213631,,,Marie Bouzkova,R,180.0,CZE,24.4,215898,,,Jule Niemeier,R,178.0,GER,23.3,6-2 7-5,3,RR,109.0,4.0,2.0,65.0,49.0,33.0,9.0,10.0,0.0,1.0,3.0,7.0,66.0,34.0,22.0,13.0,10.0,5.0,9.0,24.0,1607.0,65.0,845.0
2023-9900,United Cup,Hard,18,I,20230102,238,222601,,,Jessica Bouzas Maneiro,R,,ESP,20.2,216265,,,Olivia Gadecki,R,,AUS,20.6,6-2 6-2,3,RR,80.0,0.0,2.0,57.0,44.0,31.0,4.0,8.0,2.0,3.0,1.0,5.0,49.0,27.0,16.0,8.0,8.0,3.0,8.0,193.0,340.0,202.0,326.0
2023-9900,United Cup,Hard,18,I,20230102,237,203463,,,Nuria Parrizas Diaz,R,167.0,ESP,31.4,213666,,,Maddison Inglis,R,171.0,AUS,24.9,6-1 6-3,3,RR,85.0,2.0,2.0,60.0,40.0,29.0,11.0,8.0,5.0,5.0,1.0,3.0,52.0,36.0,22.0,3.0,8.0,6.0,10.0,70.0,802.0,179.0,363.0
2023-9900,United Cup,Hard,18,I,20230102,234,211651,,,Paula Badosa,R,180.0,ESP,25.1,211279,,,Harriet Dart,R,175.0,GBR,26.4,6-7(6) 7-6(5) 6-1,3,RR,184.0,3.0,12.0,119.0,70.0,48.0,21.0,16.0,7.0,12.0,1.0,5.0,110.0,66.0,38.0,16.0,15.0,4.0,11.0,13.0,2363.0,98.0,635.0
2023-9900,United Cup,Hard,18,I,20230102,233,215042,,,Katie Swan,R,170.0,GBR,23.7,203463,,,Nuria Parrizas Diaz,R,167.0,ESP,31.4,3-6 6-1 6-2,3,RR,125.0,6.0,1.0,67.0,50.0,35.0,8.0,12.0,1.0,4.0,0.0,4.0,84.0,60.0,31.0,11.0,12.0,12.0,18.0,145.0,435.0,70.0,802.0
2023-9900,United Cup,Hard,18,I,20230102,230,211279,,,Harriet Dart,R,175.0,GBR,26.4,213666,,,Maddison Inglis,R,171.0,AUS,24.9,6-4 6-4,3,RR,92.0,5.0,0.0,54.0,36.0,30.0,10.0,10.0,2.0,3.0,1.0,4.0,61.0,44.0,26.0,9.0,10.0,0.0,3.0,98.0,635.0,179.0,363.0
2023-9900,United Cup,Hard,18,I,20230102,229,215042,,,Katie Swan,R,170.0,GBR,23.7,211941,,,Zoe Hives,R,,AUS,26.1,6-4 6-3,3,RR,86.0,3.0,4.0,49.0,34.0,23.0,6.0,9.0,2.0,5.0,2.0,8.0,63.0,39.0,19.0,8.0,10.0,2.0,8.0,145.0,435.0,772.0,29.0
2023-9900,United Cup,Hard,18,I,20230102,226,206242,,,Beatriz Haddad Maia,L,185.0,BRA,26.5,203354,,,Martina Trevisan,L,160.0,ITA,29.1,6-2 6-0,3,RR,78.0,2.0,3.0,48.0,30.0,22.0,8.0,7.0,3.0,4.0,0.0,4.0,49.0,35.0,15.0,3.0,7.0,3.0,9.0,15.0,2215.0,27.0,1528.0
2023-9900,United Cup,Hard,18,I,20230102,225,214459,,,Lucia Bronzetti,R,,ITA,24.0,206007,,,Laura Pigossi,R,164.0,BRA,28.4,6-0 6-2,3,RR,77.0,4.0,2.0,47.0,29.0,20.0,10.0,7.0,1.0,2.0,0.0,1.0,44.0,36.0,12.0,3.0,7.0,1.0,7.0,54.0,951.0,118.0,546.0
2023-9900,United Cup,Hard,18,I,20230102,222,203354,,,Martina Trevisan,L,160.0,ITA,29.1,214935,,,Malene Helgo,U,,NOR,23.3,7-5 3-6 6-4,3,RR,182.0,5.0,7.0,105.0,73.0,45.0,13.0,15.0,11.0,16.0,0.0,9.0,122.0,71.0,43.0,23.0,16.0,12.0,18.0,27.0,1528.0,321.0,182.0
2023-9900,United Cup,Hard,18,I,20230102,221,214459,,,Lucia Bronzetti,R,,ITA,24.0,205918,,,Ulrikke Eikeri,R,,NOR,30.0,6-2 7-5,3,RR,108.0,4.0,4.0,75.0,35.0,26.0,19.0,10.0,8.0,11.0,1.0,5.0,71.0,40.0,23.0,10.0,10.0,4.0,10.0,54.0,951.0,388.0,128.0
2023-9900,United Cup,Hard,18,I,20230102,218,206242,,,Beatriz Haddad Maia,L,185.0,BRA,26.5,214935,,,Malene Helgo,U,,NOR,23.3,6-4 6-2,3,RR,91.0,5.0,1.0,48.0,32.0,24.0,12.0,9.0,0.0,0.0,5.0,4.0,69.0,41.0,26.0,12.0,9.0,8.0,11.0,15.0,2215.0,321.0,182.0
2023-9900,United Cup,Hard,18,I,20230102,217,206007,,,Laura Pigossi,R,164.0,BRA,28.4,205918,,,Ulrikke Eikeri,R,,NOR,30.0,6-3 6-4,3,RR,110.0,1.0,5.0,71.0,42.0,27.0,13.0,9.0,3.0,6.0,3.0,7.0,70.0,39.0,24.0,10.0,10.0,7.0,13.0,118.0,546.0,388.0,128.0
2023-9900,United Cup,Hard,18,I,20230102,214,201614,,,Caroline Garcia,R,177.0,FRA,29.2,201549,,,Petra Martic,R,181.0,CRO,31.9,7-6(9) 6-4,3,RR,113.0,7.0,1.0,78.0,46.0,37.0,18.0,11.0,4.0,4.0,4.0,2.0,67.0,36.0,27.0,19.0,11.0,0.0,1.0,4.0,4375.0,38.0,1203.0
2023-9900,United Cup,Hard,18,I,20230102,213,202499,,,Donna Vekic,R,179.0,CRO,26.5,201427,,,Alize Cornet,R,173.0,FRA,32.9,6-4 6-3,3,RR,114.0,4.0,2.0,71.0,46.0,30.0,13.0,9.0,3.0,4.0,1.0,2.0,80.0,53.0,30.0,12.0,10.0,8.0,12.0,67.0,827.0,36.0,1328.0
2023-9900,United Cup,Hard,18,I,20230102,210,201614,,,Caroline Garcia,R,177.0,FRA,29.2,206408,,,Nadia Podoroska,R,170.0,ARG,25.8,6-2 6-0,3,RR,64.0,3.0,1.0,37.0,20.0,18.0,10.0,7.0,0.0,0.0,1.0,3.0,54.0,36.0,17.0,6.0,7.0,6.0,11.0,4.0,4375.0,196.0,335.0
2023-9900,United Cup,Hard,18,I,20230102,209,201427,,,Alize Cornet,R,173.0,FRA,32.9,214604,,,Maria Lourdes Carle,R,,ARG,22.8,6-2 6-1,3,RR,75.0,0.0,2.0,53.0,28.0,17.0,18.0,8.0,0.0,1.0,0.0,6.0,42.0,26.0,11.0,4.0,7.0,3.0,8.0,36.0,1328.0,147.0,427.0
2023-9900,United Cup,Hard,18,I,20230102,206,201549,,,Petra Martic,R,181.0,CRO,31.9,206408,,,Nadia Podoroska,R,170.0,ARG,25.8,6-2 4-6 6-1,3,RR,113.0,3.0,5.0,70.0,41.0,32.0,14.0,13.0,2.0,5.0,0.0,3.0,74.0,46.0,26.0,11.0,12.0,3.0,9.0,38.0,1203.0,196.0,335.0
2023-9900,United Cup,Hard,18,I,20230102,205,202499,,,Donna Vekic,R,179.0,CRO,26.5,214604,,,Maria Lourdes Carle,R,,ARG,22.8,6-0 6-4,3,RR,70.0,0.0,2.0,43.0,27.0,20.0,10.0,8.0,0.0,1.0,0.0,3.0,45.0,26.0,16.0,4.0,8.0,0.0,5.0,67.0,827.0,147.0,427.0
2023-800,Adelaide 1,Hard,32,P,20230102,300,214544,2.0,,Aryna Sabalenka,R,182.0,BLR,24.6,222328,,Q,Linda Noskova,R,,CZE,18.1,6-3 7-6(4),3,F,103.0,12.0,7.0,73.0,31.0,29.0,23.0,11.0,3.0,3.0,6.0,8.0,87.0,50.0,37.0,15.0,10.0,5.0,6.0,5.0,3925.0,102.0,620.0
2023-800,Adelaide 1,Hard,32,P,20230102,299,222328,,Q,Linda Noskova,R,,CZE,18.1,202460,1.0,,Ons Jabeur,R,167.0,TUN,28.3,6-3 1-6 6-3,3,SF,110.0,8.0,2.0,97.0,59.0,39.0,21.0,13.0,10.0,12.0,4.0,4.0,76.0,38.0,29.0,20.0,12.0,4.0,6.0,102.0,620.0,2.0,5055.0
2023-800,Adelaide 1,Hard,32,P,20230102,298,214544,2.0,,Aryna Sabalenka,R,182.0,BLR,24.6,201593,,,Irina Camelia Begu,R,181.0,ROU,32.3,6-3 6-2,3,SF,78.0,6.0,5.0,55.0,31.0,25.0,13.0,9.0,3.0,3.0,1.0,2.0,48.0,27.0,17.0,9.0,8.0,4.0,7.0,5.0,3925.0,34.0,1347.0
2023-800,Adelaide 1,Hard,32,P,20230102,297,202460,1.0,,Ons Jabeur,R,167.0,TUN,28.3,216146,,Q,Marta Kostyuk,R,175.0,UKR,20.5,7-6(5) 7-5,3,QF,113.0,2.0,3.0,79.0,47.0,33.0,14.0,12.0,3.0,7.0,2.0,1.0,89.0,53.0,34.0,16.0,12.0,3.0,8.0,2.0,5055.0,69.0,820.0
2023-800,Adelaide 1,Hard,32,P,20230102,296,222328,,Q,Linda Noskova,R,,CZE,18.1,201458,,,Victoria Azarenka,R,180.0,BLR,33.4,6-4 6-7(3) 7-6(6),3,QF,178.0,7.0,5.0,117.0,76.0,52.0,19.0,17.0,7.0,11.0,15.0,6.0,127.0,90.0,59.0,18.0,17.0,11.0,16.0,102.0,620.0,26.0,1597.0
2023-800,Adelaide 1,Hard,32,P,20230102,295,201593,,,Irina Camelia Begu,R,181.0,ROU,32.3,206368,4.0,,Veronika Kudermetova,R,175.0,RUS,25.6,7-5 6-4,3,QF,130.0,2.0,2.0,76.0,51.0,30.0,12.0,11.0,6.0,10.0,1.0,2.0,77.0,45.0,21.0,17.0,11.0,5.0,11.0,34.0,1347.0,9.0,2795.0
2023-800,Adelaide 1,Hard,32,P,20230102,294,214544,2.0,,Aryna Sabalenka,R,182.0,BLR,24.6,214954,,SR,Marketa Vondrousova,L,173.0,CZE,23.5,6-3 7-5,3,QF,93.0,6.0,4.0,73.0,44.0,32.0,14.0,11.0,6.0,8.0,5.0,2.0,73.0,51.0,32.0,7.0,10.0,8.0,12.0,5.0,3925.0,92.0,662.0
2023-800,Adelaide 1,Hard,32,P,20230102,293,202460,1.0,,Ons Jabeur,R,167.0,TUN,28.3,201514,,,Sorana Cirstea,R,176.0,ROU,32.7,7-6(3) 6-1,3,R16,77.0,2.0,3.0,62.0,35.0,31.0,11.0,10.0,0.0,2.0,0.0,1.0,52.0,35.0,21.0,7.0,9.0,2.0,6.0,2.0,5055.0,45.0,1087.0
2023-800,Adelaide 1,Hard,32,P,20230102,292,216146,,Q,Marta Kostyuk,R,175.0,UKR,20.5,214981,,,Elena Rybakina,R,184.0,KAZ,23.5,6-7(5) 6-2 6-3,3,R16,141.0,5.0,3.0,110.0,75.0,56.0,17.0,15.0,9.0,10.0,7.0,3.0,102.0,52.0,40.0,24.0,14.0,5.0,9.0,69.0,820.0,21.0,1860.0
2023-800,Adelaide 1,Hard,32,P,20230102,291,222328,,Q,Linda Noskova,R,,CZE,18.1,214906,,Q,Claire Liu,R,170.0,USA,22.6,6-2 6-2,3,R16,74.0,3.0,2.0,56.0,36.0,25.0,12.0,8.0,2.0,2.0,3.0,3.0,52.0,30.0,14.0,11.0,8.0,1.0,5.0,102.0,620.0,59.0,880.0
2023-800,Adelaide 1,Hard,32,P,20230102,290,201458,,,Victoria Azarenka,R,180.0,BLR,33.4,221012,,,Qinwen Zheng,R,,CHN,20.2,6-2 7-5,3,R16,99.0,1.0,0.0,54.0,37.0,29.0,9.0,10.0,1.0,2.0,10.0,2.0,74.0,40.0,28.0,13.0,10.0,7.0,11.0,26.0,1597.0,28.0,1528.0
2023-800,Adelaide 1,Hard,32,P,20230102,289,201593,,,Irina Camelia Begu,R,181.0,ROU,32.3,211533,7.0,,Jelena Ostapenko,R,177.0,LAT,25.5,6-3 6-0,3,R16,73.0,4.0,1.0,33.0,22.0,17.0,9.0,7.0,1.0,2.0,1.0,4.0,72.0,44.0,25.0,5.0,8.0,8.0,14.0,34.0,1347.0,18.0,1986.0
2023-800,Adelaide 1,Hard,32,P,20230102,288,206368,4.0,,Veronika Kudermetova,R,175.0,RUS,25.6,215370,,SR,Bianca Andreescu,R,170.0,CAN,22.5,6-4 6-0,3,R16,79.0,2.0,0.0,45.0,28.0,19.0,9.0,8.0,1.0,3.0,0.0,2.0,53.0,34.0,12.0,10.0,8.0,9.0,15.0,9.0,2795.0,46.0,1066.0
2023-800,Adelaide 1,Hard,32,P,20230102,287,214954,,SR,Marketa Vondrousova,L,173.0,CZE,23.5,201466,,,Kaia Kanepi,R,181.0,EST,37.5,6-0 6-4,3,R16,67.0,2.0,4.0,47.0,30.0,25.0,8.0,8.0,1.0,1.0,0.0,1.0,52.0,28.0,16.0,9.0,8.0,4.0,8.0,92.0,662.0,32.0,1380.0
2023-800,Adelaide 1,Hard,32,P,20230102,286,214544,2.0,,Aryna Sabalenka,R,182.0,BLR,24.6,214643,,,Liudmila Samsonova,R,180.0,RUS,24.1,7-6(8) 7-6(3),3,R16,135.0,11.0,6.0,96.0,68.0,42.0,17.0,12.0,7.0,10.0,8.0,4.0,86.0,51.0,36.0,16.0,12.0,4.0,7.0,5.0,3925.0,20.0,1910.0
2023-800,Adelaide 1,Hard,32,P,20230102,284,201514,,,Sorana Cirstea,R,176.0,ROU,32.7,203530,,Q,Viktorija Golubic,R,169.0,SUI,30.2,6-0 7-6(1),3,R32,104.0,2.0,0.0,81.0,45.0,33.0,17.0,9.0,6.0,7.0,0.0,4.0,57.0,41.0,25.0,3.0,9.0,3.0,7.0,45.0,1087.0,76.0,779.0
2023-800,Adelaide 1,Hard,32,P,20230102,283,216146,,Q,Marta Kostyuk,R,175.0,UKR,20.5,215096,,WC,Jaimee Fourlis,R,168.0,AUS,23.2,6-1 3-6 6-4,3,R32,125.0,3.0,8.0,68.0,38.0,25.0,15.0,13.0,0.0,4.0,1.0,4.0,94.0,58.0,35.0,14.0,13.0,5.0,11.0,69.0,820.0,162.0,389.0
2023-800,Adelaide 1,Hard,32,P,20230102,282,214981,,,Elena Rybakina,R,184.0,KAZ,23.5,203389,5.0,,Danielle Collins,R,178.0,USA,29.0,5-7 6-2 6-3,3,R32,141.0,14.0,6.0,86.0,49.0,42.0,18.0,15.0,2.0,4.0,5.0,10.0,106.0,60.0,39.0,22.0,14.0,13.0,17.0,21.0,1860.0,14.0,2287.0
2023-800,Adelaide 1,Hard,32,P,20230102,281,222328,,Q,Linda Noskova,R,,CZE,18.1,214082,3.0,,Daria Kasatkina,R,170.0,RUS,25.6,6-3 6-7(2) 6-3,3,R32,153.0,3.0,4.0,117.0,79.0,48.0,17.0,16.0,8.0,14.0,3.0,0.0,102.0,72.0,38.0,12.0,14.0,7.0,15.0,102.0,620.0,8.0,3435.0
2023-800,Adelaide 1,Hard,32,P,20230102,280,214906,,Q,Claire Liu,R,170.0,USA,22.6,211880,,WC,Priscilla Hon,R,171.0,AUS,24.6,4-6 6-3 6-3,3,R32,130.0,5.0,1.0,82.0,53.0,39.0,16.0,14.0,3.0,5.0,1.0,5.0,96.0,59.0,40.0,16.0,14.0,4.0,8.0,59.0,880.0,154.0,415.0
2023-800,Adelaide 1,Hard,32,P,20230102,279,201458,,,Victoria Azarenka,R,180.0,BLR,33.4,211843,,Q,Anhelina Kalinina,R,179.0,UKR,25.9,7-6(9) 7-6(5),3,R32,158.0,1.0,5.0,90.0,60.0,35.0,16.0,12.0,4.0,8.0,1.0,3.0,99.0,64.0,42.0,13.0,12.0,3.0,7.0,26.0,1597.0,39.0,1197.0
2023-800,Adelaide 1,Hard,32,P,20230102,278,221012,,,Qinwen Zheng,R,,CHN,20.2,204426,6.0,,Anett Kontaveit,R,174.0,EST,27.0,6-1 4-6 7-6(7),3,R32,147.0,6.0,1.0,106.0,64.0,49.0,21.0,15.0,6.0,8.0,3.0,2.0,91.0,54.0,39.0,18.0,14.0,3.0,6.0,28.0,1528.0,17.0,2093.0
