tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2023-9900,United Cup,Hard,18,I,20230102,298,202468,,,Jessica Pegula,R,170.0,USA,28.8,203354,,,Martina Trevisan,L,160.0,ITA,29.1,6-4 6-2,3,F,89.0,2.0,2.0,48.0,24.0,17.0,12.0,9.0,0.0,3.0,0.0,0.0,69.0,43.0,20.0,12.0,9.0,3.0,9.0,3.0,4691.0,27.0,1528.0
2023-9900,United Cup,Hard,18,I,20230102,297,201619,,,Madison Keys,R,178.0,USA,27.8,214459,,,Lucia Bronzetti,R,,ITA,24.0,6-3 6-2,3,F,73.0,6.0,2.0,60.0,38.0,25.0,9.0,9.0,5.0,8.0,0.0,2.0,49.0,32.0,14.0,6.0,8.0,5.0,11.0,11.0,2417.0,54.0,951.0
2023-9900,United Cup,Hard,18,I,20230102,294,202468,,,Jessica Pegula,R,170.0,USA,28.8,216347,,,Iga Swiatek,R,176.0,POL,21.5,6-2 6-2,3,SF,71.0,2.0,1.0,53.0,29.0,24.0,11.0,8.0,1.0,2.0,1.0,2.0,41.0,26.0,10.0,5.0,8.0,2.0,7.0,3.0,4691.0,1.0,11085.0
2023-9900,United Cup,Hard,18,I,20230102,293,201619,,,Madison Keys,R,178.0,USA,27.8,202663,,,Magda Linette,R,171.0,POL,30.8,6-4 6-2,3,SF,86.0,2.0,1.0,57.0,38.0,26.0,11.0,9.0,0.0,1.0,0.0,2.0,65.0,47.0,29.0,5.0,9.0,4.0,8.0,11.0,2417.0,48.0,1030.0
2023-9900,United Cup,Hard,18,I,20230102,290,203354,,,Martina Trevisan,L,160.0,ITA,29.1,206289,,,Maria Sakkari,R,172.0,GRE,27.4,6-3 6-7(4) 7-5,3,SF,194.0,1.0,2.0,110.0,75.0,50.0,15.0,16.0,5.0,9.0,5.0,7.0,106.0,53.0,37.0,22.0,17.0,2.0,9.0,27.0,1528.0,6.0,3871.0
2023-9900,United Cup,Hard,18,I,20230102,289,214459,,,Lucia Bronzetti,R,,ITA,24.0,204394,,,Valentini Grammatikopoulou,U,,GRE,25.8,6-2 6-3,3,SF,78.0,0.0,2.0,51.0,31.0,26.0,10.0,8.0,3.0,3.0,3.0,0.0,54.0,34.0,19.0,10.0,9.0,1.0,5.0,54.0,951.0,199.0,333.0
2023-9900,United Cup,Hard,18,I,20230102,286,206289,,,Maria Sakkari,R,172.0,GRE,27.4,201549,,,Petra Martic,R,181.0,CRO,31.9,6-3 6-3,3,RR,99.0,3.0,0.0,49.0,33.0,24.0,10.0,9.0,2.0,3.0,8.0,5.0,86.0,48.0,27.0,17.0,9.0,9.0,13.0,6.0,3871.0,38.0,1203.0
2023-9900,United Cup,Hard,18,I,20230102,285,202499,,,Donna Vekic,R,179.0,CRO,26.5,202604,,,Despina Papamichail,R,178.0,GRE,29.8,6-2 6-0,3,RR,64.0,1.0,4.0,41.0,27.0,22.0,7.0,7.0,0.0,0.0,0.0,2.0,49.0,33.0,17.0,4.0,7.0,5.0,10.0,67.0,827.0,158.0,409.0
2023-9900,United Cup,Hard,18,I,20230102,282,216347,,,Iga Swiatek,R,176.0,POL,21.5,203354,,,Martina Trevisan,L,160.0,ITA,29.1,6-2 6-4,3,RR,111.0,1.0,1.0,59.0,44.0,31.0,9.0,9.0,3.0,4.0,0.0,4.0,77.0,50.0,29.0,11.0,9.0,7.0,11.0,1.0,11085.0,27.0,1528.0
2023-9900,United Cup,Hard,18,I,20230102,281,202663,,,Magda Linette,R,171.0,POL,30.8,214459,,,Lucia Bronzetti,R,,ITA,24.0,6-1 6-2,3,RR,73.0,2.0,1.0,48.0,28.0,23.0,11.0,8.0,0.0,0.0,2.0,3.0,47.0,25.0,16.0,7.0,7.0,7.0,11.0,48.0,1030.0,54.0,951.0
2023-9900,United Cup,Hard,18,I,20230102,278,202468,,,Jessica Pegula,R,170.0,USA,28.8,211279,,,Harriet Dart,R,175.0,GBR,26.4,6-2 6-0,3,RR,57.0,1.0,2.0,37.0,22.0,18.0,11.0,7.0,0.0,0.0,0.0,2.0,45.0,26.0,14.0,4.0,7.0,3.0,8.0,3.0,4691.0,98.0,635.0
2023-9900,United Cup,Hard,18,I,20230102,277,201619,,,Madison Keys,R,178.0,USA,27.8,215042,,,Katie Swan,R,170.0,GBR,23.7,2-6 6-3 6-4,3,RR,138.0,3.0,3.0,96.0,70.0,45.0,10.0,14.0,8.0,12.0,1.0,7.0,84.0,51.0,33.0,16.0,13.0,6.0,10.0,11.0,2417.0,145.0,435.0
2023-9900,United Cup,Hard,18,I,20230102,274,206289,,,Maria Sakkari,R,172.0,GRE,27.4,210722,,,Elise Mertens,R,179.0,BEL,27.1,6-1 7-5,3,RR,83.0,5.0,0.0,50.0,28.0,22.0,10.0,10.0,0.0,3.0,0.0,4.0,57.0,39.0,19.0,6.0,9.0,5.0,11.0,6.0,3871.0,29.0,1475.0
2023-9900,United Cup,Hard,18,I,20230102,273,202421,,,Alison Van Uytvanck,R,173.0,BEL,28.7,202604,,,Despina Papamichail,R,178.0,GRE,29.8,7-5 2-6 6-3,3,RR,150.0,3.0,5.0,100.0,62.0,39.0,14.0,15.0,6.0,12.0,0.0,2.0,96.0,63.0,37.0,16.0,14.0,7.0,13.0,72.0,794.0,158.0,409.0
2023-9900,United Cup,Hard,18,I,20230102,270,206289,,,Maria Sakkari,R,172.0,GRE,27.4,202600,,,Viktoriya Tomova,R,170.0,BUL,27.8,6-3 6-2,3,RR,87.0,3.0,5.0,55.0,32.0,27.0,10.0,9.0,1.0,2.0,1.0,3.0,56.0,33.0,20.0,6.0,8.0,4.0,8.0,6.0,3871.0,90.0,682.0
2023-9900,United Cup,Hard,18,I,20230102,269,202604,,,Despina Papamichail,R,178.0,GRE,29.8,202688,,,Isabella Shinikova,R,184.0,BUL,31.1,3-6 6-4 6-1,3,RR,139.0,2.0,3.0,91.0,61.0,38.0,14.0,13.0,1.0,6.0,1.0,4.0,89.0,50.0,28.0,15.0,13.0,5.0,12.0,158.0,409.0,379.0,131.0
