tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2020-0800,Brisbane,Hard,32,P,20200106,288,211768,3,,Naomi Osaka,R,180.0,JPN,22.2,213550,,,Sofia Kenin,R,170.0,USA,21.1,6-7(3) 6-3 6-1,3,R16,140.0,18.0,3.0,99.0,55.0,43.0,22.0,14.0,3.0,4.0,3.0,3.0,102.0,65.0,42.0,14.0,14.0,11.0,16.0,4.0,5311.0,14.0,2740.0
2020-0800,Brisbane,Hard,32,P,20200106,287,201590,,,Alison Riske Amritraj,R,173.0,USA,29.5,201366,,,Barbora Strycova,R,164.0,CZE,33.7,6-3 6-4,3,R16,93.0,5.0,2.0,46.0,30.0,21.0,8.0,9.0,0.0,2.0,1.0,3.0,69.0,44.0,24.0,10.0,10.0,2.0,7.0,19.0,2085.0,31.0,1462.0
2020-0800,Brisbane,Hard,32,P,20200106,286,201662,2,,Karolina Pliskova,R,184.0,CZE,27.7,201548,,WC,Ajla Tomljanovic,R,180.0,AUS,26.6,6-4 6-7(5) 6-1,3,R16,121.0,12.0,3.0,87.0,58.0,45.0,18.0,15.0,2.0,3.0,5.0,4.0,94.0,58.0,38.0,19.0,14.0,2.0,6.0,2.0,5525.0,54.0,1045.0
2020-0800,Brisbane,Hard,32,P,20200106,284,206108,,Q,Jennifer Brady,R,178.0,USA,24.7,201345,,WC,Maria Sharapova,R,188.0,RUS,32.7,3-6 6-1 7-6(3),3,R32,134.0,4.0,1.0,81.0,47.0,35.0,25.0,14.0,1.0,2.0,8.0,11.0,96.0,56.0,44.0,16.0,14.0,4.0,6.0,53.0,1047.0,147.0,406.0
2020-0800,Brisbane,Hard,32,P,20200106,283,214643,,Q,Liudmila Samsonova,R,180.0,RUS,21.1,201585,,,Sloane Stephens,R,170.0,USA,26.7,6-4 2-6 6-3,3,R32,127.0,10.0,14.0,104.0,51.0,37.0,27.0,14.0,9.0,12.0,4.0,0.0,77.0,59.0,39.0,9.0,13.0,2.0,5.0,129.0,475.0,24.0,1737.0
2020-0800,Brisbane,Hard,32,P,20200106,282,201520,5,,Petra Kvitova,L,183.0,CZE,29.8,201499,,,Anastasia Pavlyuchenkova,R,177.0,RUS,28.5,2-6 6-1 6-0,3,R32,107.0,5.0,4.0,77.0,53.0,36.0,11.0,11.0,10.0,13.0,2.0,4.0,83.0,56.0,32.0,9.0,10.0,13.0,19.0,7.0,4721.0,29.0,1531.0
2020-0800,Brisbane,Hard,32,P,20200106,281,203389,,,Danielle Collins,R,178.0,USA,26.0,202494,4,,Elina Svitolina,R,174.0,UKR,25.3,6-1 6-1,3,R32,56.0,5.0,1.0,50.0,34.0,26.0,9.0,7.0,4.0,4.0,0.0,3.0,42.0,24.0,9.0,7.0,7.0,5.0,10.0,27.0,1566.0,5.0,5075.0
2020-0800,Brisbane,Hard,32,P,20200106,280,201709,,Q,Yulia Putintseva,R,163.0,KAZ,24.9,202499,,,Donna Vekic,R,179.0,CRO,23.5,6-3 3-6 7-5,3,R32,151.0,2.0,0.0,100.0,71.0,42.0,17.0,15.0,6.0,10.0,1.0,5.0,92.0,68.0,46.0,6.0,15.0,2.0,7.0,32.0,1460.0,20.0,2080.0
2020-0800,Brisbane,Hard,32,P,20200106,279,201325,,WC,Samantha Stosur,R,172.0,AUS,35.7,201493,,,Angelique Kerber,L,173.0,GER,31.9,7-6(5) 7-6(4),3,R32,114.0,5.0,5.0,95.0,66.0,48.0,12.0,12.0,3.0,6.0,3.0,4.0,85.0,54.0,36.0,16.0,12.0,4.0,7.0,98.0,683.0,18.0,2175.0
2020-0800,Brisbane,Hard,32,P,20200106,278,201619,8,,Madison Keys,R,178.0,USA,24.8,213631,,Q,Marie Bouzkova,R,180.0,CZE,21.4,6-3 6-2,3,R32,66.0,4.0,0.0,44.0,31.0,25.0,5.0,8.0,1.0,2.0,2.0,2.0,55.0,40.0,23.0,5.0,9.0,3.0,8.0,13.0,2767.0,60.0,967.0
2020-0800,Brisbane,Hard,32,P,20200106,277,202428,6,,Kiki Bertens,R,182.0,NED,28.0,215035,,,Dayana Yastremska,R,175.0,UKR,19.6,6-4 1-6 6-3,3,R32,116.0,4.0,5.0,81.0,47.0,32.0,14.0,13.0,6.0,10.0,1.0,6.0,76.0,43.0,29.0,15.0,13.0,3.0,7.0,9.0,4245.0,22.0,1825.0
2020-0800,Brisbane,Hard,32,P,20200106,276,204426,,,Anett Kontaveit,R,174.0,EST,24.0,201444,,,Su Wei Hsieh,R,169.0,TPE,34.0,6-4 6-1,3,R32,70.0,8.0,2.0,72.0,51.0,37.0,6.0,9.0,9.0,11.0,1.0,5.0,47.0,23.0,12.0,9.0,8.0,1.0,6.0,26.0,1575.0,33.0,1450.0
2020-0800,Brisbane,Hard,32,P,20200106,275,213550,,,Sofia Kenin,R,170.0,USA,21.1,201545,,,Anastasija Sevastova,R,169.0,LAT,29.7,7-6(1) 6-4,3,R32,94.0,1.0,1.0,72.0,47.0,33.0,13.0,11.0,3.0,5.0,7.0,1.0,69.0,41.0,25.0,16.0,11.0,3.0,6.0,14.0,2740.0,30.0,1518.0
2020-0800,Brisbane,Hard,32,P,20200106,274,211768,3,,Naomi Osaka,R,180.0,JPN,22.2,206289,,,Maria Sakkari,R,172.0,GRE,24.4,6-2 6-7(4) 6-3,3,R32,127.0,16.0,1.0,89.0,62.0,47.0,15.0,15.0,2.0,3.0,6.0,0.0,84.0,47.0,32.0,18.0,14.0,1.0,5.0,4.0,5311.0,23.0,1820.0
2020-0800,Brisbane,Hard,32,P,20200106,273,201366,,,Barbora Strycova,R,164.0,CZE,33.7,202427,7,,Johanna Konta,R,180.0,GBR,28.6,6-2 3-6 6-3,3,R32,133.0,3.0,2.0,86.0,59.0,35.0,14.0,13.0,9.0,13.0,2.0,5.0,79.0,47.0,30.0,12.0,13.0,4.0,10.0,31.0,1462.0,12.0,2825.0
2020-0800,Brisbane,Hard,32,P,20200106,272,201590,,,Alison Riske Amritraj,R,173.0,USA,29.5,214096,,,Karolina Muchova,R,178.0,CZE,23.3,6-4 6-2,3,R32,78.0,1.0,3.0,58.0,41.0,30.0,8.0,9.0,5.0,6.0,5.0,3.0,65.0,46.0,26.0,7.0,9.0,8.0,12.0,19.0,2085.0,21.0,1846.0
2020-0800,Brisbane,Hard,32,P,20200106,271,201548,,WC,Ajla Tomljanovic,R,180.0,AUS,26.6,211880,,WC,Priscilla Hon,R,171.0,AUS,21.6,6-2 4-6 6-4,3,R32,138.0,7.0,4.0,87.0,42.0,31.0,25.0,14.0,4.0,7.0,6.0,8.0,105.0,60.0,36.0,21.0,14.0,9.0,14.0,54.0,1045.0,122.0,500.0
2020-1063,Shenzhen,Hard,32,I,20200106,300,206420,5,,Ekaterina Alexandrova,R,175.0,RUS,25.1,214981,7,,Elena Rybakina,R,184.0,KAZ,20.5,6-2 6-4,3,F,73.0,3.0,2.0,45.0,33.0,22.0,6.0,9.0,1.0,4.0,5.0,4.0,76.0,55.0,27.0,8.0,9.0,9.0,15.0,34.0,1425.0,36.0,1401.0
2020-1063,Shenzhen,Hard,32,I,20200106,299,206420,5,,Ekaterina Alexandrova,R,175.0,RUS,25.1,202469,6,,Garbine Muguruza,R,182.0,ESP,26.2,6-4 6-3,3,SF,76.0,4.0,0.0,54.0,40.0,30.0,7.0,10.0,0.0,2.0,6.0,2.0,69.0,50.0,28.0,7.0,9.0,3.0,7.0,34.0,1425.0,35.0,1412.0
2020-1063,Shenzhen,Hard,32,I,20200106,298,214981,7,,Elena Rybakina,R,184.0,KAZ,20.5,201697,,,Kristyna Pliskova,L,184.0,CZE,27.7,6-2 7-5,3,SF,72.0,9.0,3.0,64.0,41.0,33.0,13.0,10.0,3.0,3.0,8.0,5.0,58.0,38.0,27.0,9.0,10.0,3.0,6.0,36.0,1401.0,66.0,858.0
2020-1063,Shenzhen,Hard,32,I,20200106,297,202469,6,,Garbine Muguruza,R,182.0,ESP,26.2,201610,,,Zarina Diyas,R,172.0,KAZ,26.2,6-4 2-6 6-4,3,QF,130.0,13.0,2.0,89.0,57.0,37.0,13.0,14.0,6.0,11.0,2.0,3.0,93.0,74.0,40.0,9.0,14.0,3.0,8.0,35.0,1412.0,75.0,775.0
2020-1063,Shenzhen,Hard,32,I,20200106,296,206420,5,,Ekaterina Alexandrova,R,175.0,RUS,25.1,202492,4,,Qiang Wang,R,172.0,CHN,27.9,3-6 6-4 6-3,3,QF,128.0,4.0,6.0,97.0,63.0,39.0,12.0,14.0,8.0,14.0,3.0,1.0,108.0,66.0,39.0,16.0,14.0,9.0,16.0,34.0,1425.0,28.0,1563.0
2020-1063,Shenzhen,Hard,32,I,20200106,295,214981,7,,Elena Rybakina,R,184.0,KAZ,20.5,210722,3,,Elise Mertens,R,179.0,BEL,24.1,6-4 4-6 6-2,3,QF,121.0,0.0,1.0,83.0,52.0,31.0,20.0,14.0,5.0,9.0,3.0,5.0,85.0,48.0,30.0,15.0,14.0,1.0,7.0,36.0,1401.0,17.0,2290.0
2020-1063,Shenzhen,Hard,32,I,20200106,294,201697,,,Kristyna Pliskova,L,184.0,CZE,27.7,201435,,,Kateryna Bondarenko,R,175.0,UKR,33.4,6-4 6-4,3,QF,72.0,16.0,2.0,56.0,34.0,29.0,12.0,10.0,0.0,1.0,6.0,5.0,69.0,33.0,25.0,15.0,10.0,10.0,13.0,66.0,858.0,1168.0,6.0
2020-1063,Shenzhen,Hard,32,I,20200106,293,201610,,,Zarina Diyas,R,172.0,KAZ,26.2,215020,,,Anna Blinkova,R,179.0,RUS,21.3,6-1 6-7(9) 6-4,3,R16,165.0,3.0,2.0,111.0,79.0,43.0,17.0,14.0,12.0,17.0,4.0,11.0,125.0,87.0,51.0,12.0,15.0,13.0,22.0,75.0,775.0,58.0,1007.0
2020-1063,Shenzhen,Hard,32,I,20200106,292,202469,6,,Garbine Muguruza,R,182.0,ESP,26.2,201603,,,Shelby Rogers,R,175.0,USA,27.2,6-1 7-6(2),3,R16,83.0,10.0,0.0,64.0,45.0,36.0,10.0,10.0,4.0,5.0,2.0,5.0,56.0,33.0,19.0,13.0,9.0,2.0,5.0,35.0,1412.0,174.0,351.0
